Year,Area,CancerType,AgeAdjustedRate,lci,uci,CaseCount,Population
2006,Utah,Leukemias,13.9,12.3,15.7,278,2525507
2006,Alaska,Leukemias,18.1,14.2,22.6,89,675302
2006,Florida,Leukemias,14,13.5,14.5,3089,18166990
2006,Idaho,Leukemias,16.5,14.5,18.8,238,1468669
2006,Illinois,Leukemias,14.1,13.5,14.8,1792,12643955
2006,Iowa,Leukemias,15.6,14.3,17,535,2982644
2006,Maine,Leukemias,17.3,15.2,19.5,266,1323619
2006,Michigan,Leukemias,15,14.3,15.8,1572,10036081
2006,Minnesota,Leukemias,15.7,14.6,16.8,835,5163555
2006,Missouri,Leukemias,14.3,13.4,15.3,898,5842704
2006,Montana,Leukemias,16.1,13.8,18.8,169,952692
2006,Nebraska,Leukemias,16.2,14.5,18.2,310,1772693
2006,New Jersey,Leukemias,14.4,13.7,15.2,1328,8661679
2006,New York,Leukemias,14.6,14.1,15.1,2945,19104631
2006,North Dakota,Leukemias,16.1,13.3,19.3,120,649422
2006,Oklahoma,Leukemias,15.9,14.6,17.2,600,3594090
2006,Pennsylvania,Leukemias,14.1,13.5,14.7,2052,12510809
2006,Rhode Island,Leukemias,14.6,12.5,17,170,1063096
2006,South Dakota,Leukemias,14.2,11.8,17,124,783033
2006,Texas,Leukemias,14.7,14.2,15.2,3046,23359580
2006,Vermont,Leukemias,14.3,11.5,17.5,97,622892
2006,Washington,Leukemias,15.1,14.1,16.1,954,6370753
2006,West Virginia,Leukemias,14.6,13,16.3,317,1827912
2006,Wisconsin,Leukemias,16.5,15.5,17.6,978,5577655
2007,District of Columbia,Leukemias,9.3,6.9,12.3,51,574404
2007,Arizona,Leukemias,10.6,9.8,11.4,669,6167681
2007,Hawaii,Leukemias,10.2,8.6,12,145,1315675
2007,Mississippi,Leukemias,11.5,10.3,12.8,345,2928350
2007,Virginia,Leukemias,11.2,10.5,12,867,7751000
2007,Arkansas,Leukemias,12,10.8,13.3,375,2848650
2007,Delaware,Leukemias,12.3,10.2,14.8,117,871749
2007,Georgia,Leukemias,12.4,11.6,13.2,1037,9349988
2007,Maryland,Leukemias,12.2,11.3,13.2,687,5653408
2007,Missouri,Leukemias,12.4,11.6,13.3,788,5887612
2007,Nevada,Leukemias,12.4,11,13.9,309,2601072
2007,Ohio,Leukemias,11.9,11.3,12.5,1481,11500468
2007,Oregon,Leukemias,12.4,11.3,13.6,494,3722417
2007,Tennessee,Leukemias,12.1,11.3,13,781,6175727
2007,Alabama,Leukemias,12.6,11.6,13.6,620,4672840
2007,Alaska,Leukemias,13.8,10.4,17.8,68,680300
2007,California,Leukemias,12.8,12.4,13.1,4380,36250311
2007,Colorado,Leukemias,13.8,12.7,14.9,607,4803868
2007,Connecticut,Leukemias,12.9,11.8,14.1,503,3527270
2007,Florida,Leukemias,13.7,13.3,14.3,3040,18367842
2007,Illinois,Leukemias,12.9,12.3,13.5,1651,12695866
2007,Indiana,Leukemias,13.1,12.3,14.1,862,6379599
2007,Kentucky,Leukemias,13.8,12.7,14.9,611,4256672
2007,Louisiana,Leukemias,13.7,12.6,14.8,595,4375581
2007,Massachusetts,Leukemias,13,12.2,13.9,911,6431559
