Year,Area,CancerType,AgeAdjustedRate,lci,uci,CaseCount,Population
2004,Hawaii,Melanomas of the Skin,21.2,18.8,23.8,289,1273569
2004,Idaho,Melanomas of the Skin,26.3,23.6,29.2,351,1391802
2004,Kentucky,Melanomas of the Skin,21.5,20.1,23,928,4146101
2004,Maine,Melanomas of the Skin,22.6,20.2,25.2,334,1313688
2004,Massachusetts,Melanomas of the Skin,22.9,21.8,24.1,1566,6412281
2004,New Hampshire,Melanomas of the Skin,29,26.1,32.1,386,1290121
2004,New Jersey,Melanomas of the Skin,21,20.1,22,1908,8634561
2004,Oregon,Melanomas of the Skin,26.3,24.7,28,990,3569463
2004,Rhode Island,Melanomas of the Skin,22,19.4,24.9,255,1074579
2004,South Carolina,Melanomas of the Skin,21.3,19.9,22.7,914,4210921
2004,Utah,Melanomas of the Skin,26,23.7,28.4,499,2401580
2004,Vermont,Melanomas of the Skin,31.4,27.2,36,208,619920
2004,Washington,Melanomas of the Skin,26.4,25.2,27.8,1636,6178645
2004,Wyoming,Melanomas of the Skin,21.9,18,26.4,114,509106
2005,Alaska,Melanomas of the Skin,8.4,6.1,11.1,52,666946
2005,District of Columbia,Melanomas of the Skin,8.3,6.2,11,51,567136
2005,Arkansas,Melanomas of the Skin,13.1,11.8,14.5,388,2781097
2005,Louisiana,Melanomas of the Skin,14.3,13.2,15.4,622,4411396
2005,South Dakota,Melanomas of the Skin,13.6,11.2,16.4,113,775493
2005,Texas,Melanomas of the Skin,13.8,13.3,14.4,2830,22773020
2005,Arizona,Melanomas of the Skin,15.2,14.2,16.2,900,5839077
2005,Illinois,Melanomas of the Skin,16.1,15.4,16.8,2040,12609903
2005,Mississippi,Melanomas of the Skin,15,13.6,16.5,431,2876229
2005,Nevada,Melanomas of the Skin,16.9,15.3,18.7,411,2432143
2005,New York,Melanomas of the Skin,16.1,15.5,16.6,3229,19132610
2005,North Dakota,Melanomas of the Skin,14.7,11.9,18,99,646089
2005,Oklahoma,Melanomas of the Skin,17.1,15.8,18.5,629,3548597
2005,Wisconsin,Melanomas of the Skin,16.8,15.7,17.9,972,5546166
2005,Alabama,Melanomas of the Skin,19.1,17.8,20.3,919,4565917
2005,Florida,Melanomas of the Skin,20.2,19.6,20.9,4296,17842038
2005,Indiana,Melanomas of the Skin,17.4,16.4,18.4,1110,6278616
2005,Iowa,Melanomas of the Skin,18.7,17.3,20.3,601,2964454
2005,Kansas,Melanomas of the Skin,19.8,18.2,21.6,557,2745299
2005,Michigan,Melanomas of the Skin,19.1,18.3,20,1979,10051137
2005,Minnesota,Melanomas of the Skin,19.4,18.2,20.6,1006,5119598
2005,Missouri,Melanomas of the Skin,17.9,16.8,18.9,1094,5790300
2005,Montana,Melanomas of the Skin,19.2,16.5,22.1,193,940102
2005,Nebraska,Melanomas of the Skin,18.5,16.6,20.6,342,1761497
2005,New Mexico,Melanomas of the Skin,18.9,17,21,370,1932274
2005,North Carolina,Melanomas of the Skin,20.5,19.6,21.5,1825,8705407
2005,Ohio,Melanomas of the Skin,20.8,20,21.6,2508,11463320
2005,Pennsylvania,Melanomas of the Skin,18.3,17.6,19.1,2561,12449990
2005,Tennessee,Melanomas of the Skin,20.2,19.1,21.4,1273,5991057
2005,West Virginia,Melanomas of the Skin,18.3,16.5,20.2,383,1820492
2005,California,Melanomas of the Skin,21.2,20.7,21.7,7174,35827943
2005,Colorado,Melanomas of the Skin,22.4,21,23.8,993,4631888
2005,Connecticut,Melanomas of the Skin,27,25.3,28.7,1029,3506956
2005,Delaware,Melanomas of the Skin,27.5,24.2,31.2,249,845150
2005,Georgia,Melanomas of the Skin,21.9,20.9,23,1820,8925922
2005,Hawaii,Melanomas of the Skin,21.8,19.4,24.4,309,1292729
2005,Idaho,Melanomas of the Skin,27.1,24.4,30,367,1428241
2005,Kentucky,Melanomas of the Skin,22.1,20.7,23.5,962,4182742
2005,Maine,Melanomas of the Skin,23.5,21.1,26.1,354,1318787
2005,Maryland,Melanomas of the Skin,21.4,20.2,22.6,1214,5592379
2005,Massachusetts,Melanomas of the Skin,22.9,21.8,24,1575,6403290
2005,New Hampshire,Melanomas of the Skin,34.1,31,37.4,462,1298492
2005,New Jersey,Melanomas of the Skin,21,20.1,22,1928,8651974
2005,Oregon,Melanomas of the Skin,27,25.4,28.7,1053,3613202
2005,Rhode Island,Melanomas of the Skin,23.4,20.7,26.4,269,1067916
2005,South Carolina,Melanomas of the Skin,23,21.6,24.5,1015,4270150
2005,Utah,Melanomas of the Skin,28.5,26.2,31,562,2457719
2005,Vermont,Melanomas of the Skin,33.4,29.1,38.1,225,621215
2005,Virginia,Melanomas of the Skin,21.1,20.1,22.2,1614,7577105
2005,Washington,Melanomas of the Skin,26.1,24.8,27.4,1651,6257305
2005,Wyoming,Melanomas of the Skin,22.2,18.4,26.6,121,514157
2006,Alaska,Melanomas of the Skin,9,6.6,12,55,675302
2006,District of Columbia,Melanomas of the Skin,10.3,7.8,13.4,59,570681
2006,Louisiana,Melanomas of the Skin,14.1,12.9,15.2,607,4302665
2006,Nevada,Melanomas of the Skin,14.1,12.7,15.7,346,2522658
2006,Texas,Melanomas of the Skin,13.7,13.2,14.3,2892,23359580
2006,Arizona,Melanomas of the Skin,16.5,15.5,17.5,1011,6029141
2006,Arkansas,Melanomas of the Skin,14.8,13.5,16.3,447,2821761
2006,Illinois,Melanomas of the Skin,16.2,15.5,16.9,2061,12643955
2006,Michigan,Melanomas of the Skin,17.2,16.4,18,1802,10036081
