County,Stroke_IR
"Carter County, Kentucky",84.00
"Carter County, Missouri",92.70
"Carter County, Montana",58.00
"Carter County, Oklahoma",100.60
"Carter County, Tennessee",77.10
"Carteret County, North Carolina",77.30
"Carver County, Minnesota",52.40
"Cascade County, Montana",61.00
"Casey County, Kentucky",81.80
"Cass County, Iowa",75.30
"Cass County, Illinois",77.60
"Cass County, Indiana",75.70
"Cass County, Michigan",80.80
"Cass County, Minnesota",67.40
"Cass County, Missouri",69.60
"Cass County, North Dakota",57.50
"Cass County, Nebraska",62.40
"Cass County, Texas",119.20
"Cassia County, Idaho",74.10
"Castro County, Texas",74.20
"Caswell County, North Carolina",75.30
"Catahoula Parish County, Louisiana",124.40
"Camuy Municipio County, Puerto Rico",52.20
"Catawba County, North Carolina",89.10
"Catoosa County, Georgia",91.30
"Catron County, New Mexico",55.50
"Cattaraugus County, New York",70.80
